tiup is checking updates for component bench ...
Starting component `bench`: /home/lintianshi/.tiup/components/bench/v1.10.3/tiup-bench tpcc --warehouses 8 -H 172.16.4.76 -P 4056 -p W#p=@5T7bgz3Y20-x9 --threads 4 run
[Current] DELIVERY - Takes(s): 9.7, Count: 105, TPM: 650.6, Sum(ms): 9623.3, Avg(ms): 91.6, 50th(ms): 83.9, 90th(ms): 130.0, 95th(ms): 159.4, 99th(ms): 218.1, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] NEW_ORDER - Takes(s): 9.9, Count: 916, TPM: 5535.6, Sum(ms): 17315.8, Avg(ms): 18.9, 50th(ms): 18.9, 90th(ms): 25.2, 95th(ms): 29.4, 99th(ms): 41.9, 99.9th(ms): 52.4, Max(ms): 56.6
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 79, TPM: 481.1, Sum(ms): 748.7, Avg(ms): 9.5, 50th(ms): 9.4, 90th(ms): 12.1, 95th(ms): 12.1, 99th(ms): 23.1, 99.9th(ms): 30.4, Max(ms): 30.4
[Current] PAYMENT - Takes(s): 9.9, Count: 908, TPM: 5478.4, Sum(ms): 10338.7, Avg(ms): 11.4, 50th(ms): 10.5, 90th(ms): 17.8, 95th(ms): 23.1, 99th(ms): 30.4, 99.9th(ms): 48.2, Max(ms): 52.4
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 90, TPM: 551.6, Sum(ms): 1572.9, Avg(ms): 17.5, 50th(ms): 15.7, 90th(ms): 26.2, 95th(ms): 29.4, 99th(ms): 30.4, 99.9th(ms): 46.1, Max(ms): 46.1
[Current] DELIVERY - Takes(s): 9.9, Count: 53, TPM: 320.6, Sum(ms): 8025.5, Avg(ms): 151.5, 50th(ms): 159.4, 90th(ms): 251.7, 95th(ms): 260.0, 99th(ms): 302.0, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] NEW_ORDER - Takes(s): 10.0, Count: 526, TPM: 3158.5, Sum(ms): 18654.1, Avg(ms): 35.5, 50th(ms): 32.5, 90th(ms): 54.5, 95th(ms): 62.9, 99th(ms): 83.9, 99.9th(ms): 117.4, Max(ms): 176.2
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 65, TPM: 397.3, Sum(ms): 999.6, Avg(ms): 15.4, 50th(ms): 13.1, 90th(ms): 26.2, 95th(ms): 29.4, 99th(ms): 31.5, 99.9th(ms): 32.5, Max(ms): 32.5
[Current] PAYMENT - Takes(s): 10.0, Count: 496, TPM: 2977.1, Sum(ms): 11022.7, Avg(ms): 22.2, 50th(ms): 19.9, 90th(ms): 37.7, 95th(ms): 44.0, 99th(ms): 58.7, 99.9th(ms): 184.5, Max(ms): 184.5
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 44, TPM: 264.3, Sum(ms): 963.1, Avg(ms): 21.8, 50th(ms): 19.9, 90th(ms): 33.6, 95th(ms): 37.7, 99th(ms): 39.8, 99.9th(ms): 39.8, Max(ms): 39.8
[Current] DELIVERY - Takes(s): 10.0, Count: 37, TPM: 222.6, Sum(ms): 6045.4, Avg(ms): 163.4, 50th(ms): 176.2, 90th(ms): 226.5, 95th(ms): 260.0, 99th(ms): 436.2, 99.9th(ms): 436.2, Max(ms): 436.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 544, TPM: 3274.4, Sum(ms): 19805.8, Avg(ms): 36.4, 50th(ms): 35.7, 90th(ms): 54.5, 95th(ms): 60.8, 99th(ms): 75.5, 99.9th(ms): 88.1, Max(ms): 92.3
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 38, TPM: 232.7, Sum(ms): 503.8, Avg(ms): 13.3, 50th(ms): 13.6, 90th(ms): 17.8, 95th(ms): 18.9, 99th(ms): 19.9, 99.9th(ms): 19.9, Max(ms): 19.9
[Current] PAYMENT - Takes(s): 10.0, Count: 512, TPM: 3072.2, Sum(ms): 12591.6, Avg(ms): 24.6, 50th(ms): 22.0, 90th(ms): 39.8, 95th(ms): 44.0, 99th(ms): 65.0, 99.9th(ms): 92.3, Max(ms): 142.6
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 44, TPM: 278.1, Sum(ms): 1039.0, Avg(ms): 23.6, 50th(ms): 23.1, 90th(ms): 35.7, 95th(ms): 39.8, 99th(ms): 48.2, 99.9th(ms): 48.2, Max(ms): 48.2
[Current] DELIVERY - Takes(s): 9.7, Count: 63, TPM: 387.9, Sum(ms): 6520.0, Avg(ms): 103.6, 50th(ms): 88.1, 90th(ms): 176.2, 95th(ms): 192.9, 99th(ms): 234.9, 99.9th(ms): 234.9, Max(ms): 234.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 812, TPM: 4875.6, Sum(ms): 20094.0, Avg(ms): 24.7, 50th(ms): 21.0, 90th(ms): 41.9, 95th(ms): 48.2, 99th(ms): 60.8, 99.9th(ms): 176.2, Max(ms): 201.3
[Current] ORDER_STATUS - Takes(s): 9.5, Count: 70, TPM: 443.0, Sum(ms): 789.5, Avg(ms): 11.2, 50th(ms): 10.0, 90th(ms): 19.9, 95th(ms): 24.1, 99th(ms): 27.3, 99.9th(ms): 31.5, Max(ms): 31.5
[Current] PAYMENT - Takes(s): 10.0, Count: 736, TPM: 4417.0, Sum(ms): 11353.6, Avg(ms): 15.4, 50th(ms): 12.1, 90th(ms): 28.3, 95th(ms): 33.6, 99th(ms): 50.3, 99.9th(ms): 65.0, Max(ms): 71.3
